CÓDIGO,MARCA,PRODUCTO,COLOR,USO,DESCRIPCIÓN,PRECIO,DESCUENTO,STOCK,Categoria
343434,RUST-OLEUM,CH Chalked Aerosoles Rojo Campestre 340G,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada en Aerosoles para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Fácil de aplicar. Cuando seca deja una acabado tizado aterciopelado. Fácil de desgastar para darle un look vintage. Lijable.,1673.93,10,1,Aerosoles
335345,RUST-OLEUM,CH Chalked Aerosoles Rosa Pálido 340G,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada en Aerosoles para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Fácil de aplicar. Cuando seca deja una acabado tizado aterciopelado. Fácil de desgastar para darle un look vintage. Lijable.,1673.93,10,10,Aerosoles
448042,RUST-OLEUM,CH Chalked Brochable amarillo amanecer 0.887L,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada Brochable (0.887 Lts) para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Se puede aplicar sobre madera. metal. melamina. cerámica. vidrio. lona y más. Es para uso interior. Acabado: Ultra Mate Tizado AL AGUA. Rendimiento : 9 a 13 mt2 por litro por mano. PARA OBTENER UN MEJOR RESULTADO: Utilice una brocha o pincel de cerdas sintéticas de alta calidad (no se recomienda la aplicación con rodillo). Solamente se requiere una capa. pero puede aplicar hasta tres capas para lograr la apariencia deseada. Tiempo de secado: Secado al tacto: 30 minutos. Secado entre manos: 2 a 4 hs. Secado final: Entre 2 y 4 hs.,2739.46,10,8,Aerosoles
337879,RUST-OLEUM,CH Chalked Brochable Azul Costeño 0.887L,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada Brochable (0.887 Lts) para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Se puede aplicar sobre madera. metal. melamina. cerámica. vidrio. lona y más. Es para uso interior. Acabado: Ultra Mate Tizado AL AGUA. Rendimiento : 9 a 13 mt2 por litro por mano. PARA OBTENER UN MEJOR RESULTADO: Utilice una brocha o pincel de cerdas sintéticas de alta calidad (no se recomienda la aplicación con rodillo). Solamente se requiere una capa. pero puede aplicar hasta tres capas para lograr la apariencia deseada. Tiempo de secado: Secado al tacto: 30 minutos. Secado entre manos: 2 a 4 hs. Secado final: Entre 2 y 4 hs.,2739.46,10,1,Aerosoles
311331,RUST-OLEUM,CH Chalked Brochable Azul Sereno 0.887L,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada Brochable (0.887 Lts) para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Se puede aplicar sobre madera. metal. melamina. cerámica. vidrio. lona y más. Es para uso interior. Acabado: Ultra Mate Tizado AL AGUA. Rendimiento : 9 a 13 mt2 por litro por mano. PARA OBTENER UN MEJOR RESULTADO: Utilice una brocha o pincel de cerdas sintéticas de alta calidad (no se recomienda la aplicación con rodillo). Solamente se requiere una capa. pero puede aplicar hasta tres capas para lograr la apariencia deseada. Tiempo de secado: Secado al tacto: 30 minutos. Secado entre manos: 2 a 4 hs. Secado final: Entre 2 y 4 hs.,2739.46,10,9,Aerosoles
311320,RUST-OLEUM,CH Chalked Brochable Blanco Lino 0.887L,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada Brochable (0.887 Lts) para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Se puede aplicar sobre madera. metal. melamina. cerámica. vidrio. lona y más. Es para uso interior. Acabado: Ultra Mate Tizado AL AGUA. Rendimiento : 9 a 13 mt2 por litro por mano. PARA OBTENER UN MEJOR RESULTADO: Utilice una brocha o pincel de cerdas sintéticas de alta calidad (no se recomienda la aplicación con rodillo). Solamente se requiere una capa. pero puede aplicar hasta tres capas para lograr la apariencia deseada. Tiempo de secado: Secado al tacto: 30 minutos. Secado entre manos: 2 a 4 hs. Secado final: Entre 2 y 4 hs.,2739.46,10,2,Aerosoles
311333,RUST-OLEUM,CH Chalked Brochable Rosa Pálido 0.887L,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada Brochable (0.887 Lts) para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Se puede aplicar sobre madera. metal. melamina. cerámica. vidrio. lona y más. Es para uso interior. Acabado: Ultra Mate Tizado AL AGUA. Rendimiento : 9 a 13 mt2 por litro por mano. PARA OBTENER UN MEJOR RESULTADO: Utilice una brocha o pincel de cerdas sintéticas de alta calidad (no se recomienda la aplicación con rodillo). Solamente se requiere una capa. pero puede aplicar hasta tres capas para lograr la apariencia deseada. Tiempo de secado: Secado al tacto: 30 minutos. Secado entre manos: 2 a 4 hs. Secado final: Entre 2 y 4 hs.,2739.46,10,6,Aerosoles
448110,RUST-OLEUM,CH Chalked Brochable turqueza aguamarina 0.887L,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada Brochable (0.887 Lts) para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Se puede aplicar sobre madera. metal. melamina. cerámica. vidrio. lona y más. Es para uso interior. Acabado: Ultra Mate Tizado AL AGUA. Rendimiento : 9 a 13 mt2 por litro por mano. PARA OBTENER UN MEJOR RESULTADO: Utilice una brocha o pincel de cerdas sintéticas de alta calidad (no se recomienda la aplicación con rodillo). Solamente se requiere una capa. pero puede aplicar hasta tres capas para lograr la apariencia deseada. Tiempo de secado: Secado al tacto: 30 minutos. Secado entre manos: 2 a 4 hs. Secado final: Entre 2 y 4 hs.,2739.46,10,8,Aerosoles
337885,RUST-OLEUM,CH Chalked Brochable Verde Estanque 0.887L,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada Brochable (0.887 Lts) para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Se puede aplicar sobre madera. metal. melamina. cerámica. vidrio. lona y más. Es para uso interior. Acabado: Ultra Mate Tizado AL AGUA. Rendimiento : 9 a 13 mt2 por litro por mano. PARA OBTENER UN MEJOR RESULTADO: Utilice una brocha o pincel de cerdas sintéticas de alta calidad (no se recomienda la aplicación con rodillo). Solamente se requiere una capa. pero puede aplicar hasta tres capas para lograr la apariencia deseada. Tiempo de secado: Secado al tacto: 30 minutos. Secado entre manos: 2 a 4 hs. Secado final: Entre 2 y 4 hs.,2739.46,10,9,Aerosoles
337884,RUST-OLEUM,CH Chalked Brochable Verde Menta 0.887L,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada Brochable (0.887 Lts) para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Se puede aplicar sobre madera. metal. melamina. cerámica. vidrio. lona y más. Es para uso interior. Acabado: Ultra Mate Tizado AL AGUA. Rendimiento : 9 a 13 mt2 por litro por mano. PARA OBTENER UN MEJOR RESULTADO: Utilice una brocha o pincel de cerdas sintéticas de alta calidad (no se recomienda la aplicación con rodillo). Solamente se requiere una capa. pero puede aplicar hasta tres capas para lograr la apariencia deseada. Tiempo de secado: Secado al tacto: 30 minutos. Secado entre manos: 2 a 4 hs. Secado final: Entre 2 y 4 hs.,2739.46,10,1,Aerosoles
TARQ83,TARQUINI,Tarquini a rodillo línea clara x20kg,Abasto (E),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ82,TARQUINI,Tarquini a rodillo línea clara x20kg,Arena (E),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ131,TARQUINI,Tarquini a rodillo línea clara x20kg,Aurora (A),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ91,TARQUINI,Tarquini a rodillo línea clara x20kg,Bianchino (A),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ90,TARQUINI,Tarquini a rodillo línea clara x20kg,Blanco Tiza (A),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ89,TARQUINI,Tarquini a rodillo línea clara x20kg,Canela (B),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ130,TARQUINI,Tarquini a rodillo línea clara x20kg,Chalten (H),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ84,TARQUINI,Tarquini a rodillo línea clara x20kg,Frente Antiguo (E),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ88,TARQUINI,Tarquini a rodillo línea clara x20kg,Gris Cemento (B),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ87,TARQUINI,Tarquini a rodillo línea clara x20kg,Gris Kavanagh (B),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ81,TARQUINI,Tarquini a rodillo línea clara x20kg,Hueso (E),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ129,TARQUINI,Tarquini a rodillo línea clara x20kg,Lavanda (H),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ79,TARQUINI,Tarquini a rodillo línea clara x20kg,Maíz (E),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ80,TARQUINI,Tarquini a rodillo línea clara x20kg,Natural (E),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ85,TARQUINI,Tarquini a rodillo línea clara x20kg,Palladio (C),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ128,TARQUINI,Tarquini a rodillo línea clara x20kg,Pehuenia (B),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ127,TARQUINI,Tarquini a rodillo línea clara x20kg,Rosa Colonial (C),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ86,TARQUINI,Tarquini a rodillo línea clara x20kg,Toscana (C),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ132,TARQUINI,Tarquini a rodillo línea clara x20kg,Verde iberia,REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9120,,2,Pinturas
TARQ97,TARQUINI,Tarquini a rodillo línea intensa x20kg,Cafayate (C),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9575,,2,Pinturas
TARQ102,TARQUINI,Tarquini a rodillo línea intensa x20kg,Chocolate (F),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9575,,2,Pinturas
TARQ101,TARQUINI,Tarquini a rodillo línea intensa x20kg,Condor (G),REVESTIMIENTO,TEXTURA Y COLOR EN UN SOLO PASO - LISTO PARA APLICAR A RODILLO - 100% IMPERMEABLE - MAYOR DURABILIDAD - LAVABLE E HIDROREPELENTE - EVITA FORMACION DE HONGOS - RESISTENTE A RAYOS UV - SUPER ELASTICO - INTERIOR/EXTERIOR - APLICABLE SOBRE REVOQUE FINO. GRUESO Y ALISADO. PLACAS DE YESO.HORMIGON. ETC - RENDIMIENTO 1.1 KG/M2,9575,,2,Pinturas
